EASTING,NORTHING,Ca
501620,236400,18081.91
501690,247120,18296.32
495100,238480,83048.14
501540,248770,46669.91
500900,246600,34234.13
501920,245300,20583.36
495300,235400,11435.2
498120,237360,17867.5
498980,241690,13507.83
495410,238330,75114.97
497950,235980,15937.81
496400,236330,6503.77
500780,247930,19368.37
501330,239490,23870.98
501920,243680,77830.83
500150,236700,12006.96
503530,236310,9076.69
496660,236850,25800.67
503900,241050,53745.44
499730,250020,31232.39
499550,251730,26515.37
502440,240120,53030.74
503910,241680,88837.21
501430,244250,34948.83
502780,241690,39094.09
493670,238990,22941.87
502080,244200,46884.32
501370,248680,22655.99
498960,253020,30660.63
497800,239020,40809.37
497830,240510,46598.44
498960,240860,58748.34
501480,240350,41809.95
499480,240880,32161.5
499550,237000,9719.92
503400,246140,26658.31
498860,239500,38736.74
500780,246930,13221.95
500370,241820,28445.06
494580,240800,141296.19
502450,244970,19439.84
424380,262210,7075.53
439800,259860,55961.01
430220,262600,21655.41
427000,264410,9505.51
423810,264120,6646.71
440840,260090,24013.92
439860,261600,32518.85
428980,261970,11077.85
